use,keyword,pref_label,synonyms,definition,class
,set,Set,"('Set',)","('A group of things of the same kind that belong together and are so used.',)",NCIT:C47894
y ,set,Set,"('Set',)","('A group of things of the same kind that belong together and are so used.',)",Thesaurus:C47894
,set,Set,"('Set',)","('A group of things of the same kind that belong together and are so used.',)",Thesaurus:C47894
,set,obsolete_collection (of entities of organismal origin),"('ensemble', 'group', 'set')","('a collection is a bfo:aggregate object, that is a set of material object of the same kind',)",OBI:0302714
,set,protein SET,"('IGAAD', 'SET', 'inhibitor of granzyme A-activated DNase', 'HLA-DR-associated protein II', 'I-2PP2A', 'template-activating factor I', 'TAF-I', 'phosphatase 2A inhibitor I2PP2A', 'PHAPII')","('A protein that is a translation product of the SET gene or a 1:1 ortholog thereof.', 'Category=gene. Flag=automatic.')",PR:000014717
,set,set,(),"('A collection where each member is disjoint from another. [Allotrope]',)",http://purl.allotrope.org/ontologies/common#AFC:0000168
,sewage,Sewage,"('Sludge', 'Sludge Flocs')","('Refuse liquid or waste matter carried off by sewers.',)",MESH:D012722
y ,sewage,sewage,(),"('Wastewater that is contaminated with feces or urine,',)",ENVO:00002018
,sewage,waste treatment,"('sewage', 'sewage treatment')","('transformation of garbage, sewage, or other waste matter into something useful or innocuous.',)",http://purl.bioontology.org/ontology/CSP/1035-8672
y,shift,Physical Shift,"('Physical Shift', 'Displacement', 'Shift')","('A physical movement from one place to another.',)",Thesaurus:C73943
,shift,Physical Shift,"('Physical Shift', 'Displacement', 'Shift')","('A physical movement from one place to another.',)",Thesaurus:C73943
y,signal,Signal,"('Signal',)","('A detectable physical quantity or impulse (e.g., voltage, current, or magnetic field strength).',)",Thesaurus:C43382
,signal,Signal,"('Signal',)","('A detectable physical quantity or impulse (e.g., voltage, current, or magnetic field strength).',)",Thesaurus:C43382
,signal,signal,(),"('An information content entity that is an input or output in a process at the boundary of a system. The signal is sent or received via ports of the system. The signal conveys information about the behavior or attributes of some phenomenon. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0001004
,signal,signal_peptide,"('signal', 'signal peptide coding sequence', 'signal peptide', 'INSDC_feature:sig_peptide')","('The signal_peptide is a short region of the peptide located at the N-terminus that directs the protein to be secreted or part of membrane components.', 'The signal peptide can be cleaved either co- or post-translationally. For this reason, we do not use the derives_from relation when defining protein forms lacking the signal peptide (because the precursor form might not yet exist at the time of removal).', 'Old def before biosapiens:The sequence for an N-terminal domain of a secreted protein; this domain is involved in attaching nascent polypeptide to the membrane leader sequence.')",SO:0000418
y,site,Site,"('Site', 'Sites')","('A position in relation to its surroundings.',)",Thesaurus:C37901
,site,Site,"('Site', 'Sites')","('A position in relation to its surroundings.',)",Thesaurus:C37901
,site,site,(),"('B is a site means: b is a three-dimensional immaterial entity that is (partially or wholly) bounded by a material entity or it is a three-dimensional immaterial part thereof. [BFO]',)",BFO:0000029
,site,site,(),"('Comment: An instance of Site [snap:Site] is a mixture of independent continuant [snap:IndependentContinuant] entities which act as surrounding environments for other independent continuant [snap:IndependentContinuant] entities, most importantly for instances of object [snap:Object]. A site [snap:Site] is typically made of object [snap:Object] or fiat object part [snap:FiatObjectPart] entities and a surrounding medium in which is found an object [snap:Object] occupying the site [snap:Site]. Independent continuant [snap:IndependentContinuant] entities may be associated with others (which, then, are site [snap:Site] entities) through a relation of ""occupation"". That relation is connected to, but distinct from, the relation of spatial location. Site [snap:Site] entities are not to be confused with spatial region [snap:SpatialRegion] entities. In BFO, site [snap:Site] allows for a so-called relational view of space which is different from the view corresponding to the class spatial region [snap:SpatialRegion] (see the comment on this class).', ""Examples: a particular room in a particular hospital, Maria's nostril or her intestines for a variety of bacteria."", 'Definition: An independent continuant [snap:IndependentContinuant] consisting of a characteristic spatial shape in relation to some arrangement of other continuant [snap:Continuant] entities and of the medium which is enclosed in whole or in part by this characteristic spatial shape. Site [snap:Site] entities are entities that can be occupied by other continuant [snap:Continuant] entities.')",http://www.ifomis.org/bfo/1.1/snap#Site
,site,site,(),"('The interbase position where something (eg an aberration) occurred.',)",SO:0000408
,size,Size,"('SIZE', 'Size')","('The physical magnitude of something.',)",NCIT:C25681
y ,size,Size,"('SIZE', 'Size')","('The physical magnitude of something.',)",Thesaurus:C25681
,size,Size,"('SIZE', 'Size')","('The physical magnitude of something.',)",Thesaurus:C25681
,size,size,(),"(""A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude."",)",PATO:0000117
,size,size,(),"('<ncicp:ComplexDefinition xmlns:ncicp=""http://ncicb.nci.nih.gov/xml/owl/EVS/ComplexProperties.xsd#""><ncicp:def-definition>A quality inhering in a bearer by virtue of its physical magnitude.</ncicp:def-definition><ncicp:Definition_Review_Date>100428</ncicp:Definition_Review_Date><ncicp:def-source>NPO</ncicp:def-source><ncicp:attr>PATO</ncicp:attr><ncicp:Definition_Reviewer_Name>Dennis Thomas</ncicp:Definition_Reviewer_Name></ncicp:ComplexDefinition>',)",http://purl.org/obo/owl/PATO#PATO:0000117
,size,size,(),"('Size is the number of members of some collection of data. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0000936
,slope,Slope,"('Slope',)","('The property possessed by a line or surface that departs from the horizontal; the tangent of the angle it forms with the positive X axis.',)",Thesaurus:C70744
,slope,Slope,"('Slope',)","('The property possessed by a line or surface that departs from the horizontal; the tangent of the angle it forms with the positive X axis.',)",Thesaurus:C70744
,slope,slope,"('flank', 'side')","('A solid astronomical body part which is part of the planetary surface between the peak of an elevation or the bottom of a depression and  relatively flat surrounding land.',)",ENVO:00002000
,slope,slope,(),"('Slope is a mathematical facet of a line that describes both the direction and the steepness of the line. [Wikipedia]',)",http://purl.allotrope.org/ontologies/result#AFR:0001090
y,slope,slope,(),"('the slope of a line graph is a data item denoting the rate of change between the two variables represented on the graph.\nthe slope is used to visualize and interpret the relationship between two variables.',)",STATO:0000656
,small,Small,"('SMALL', 'Small')","('Limited in number, quantity, magnitude or extent.',)",NCIT:C25376
y,small,Small,"('SMALL', 'Small')","('Limited in number, quantity, magnitude or extent.',)",Thesaurus:C25376
,small,decreased size,"('hypoplasia', 'underdeveloped', 'small', 'tiny', 'reduced')","('A size quality which is relatively low.',)",PATO:0000587
,small,decreased size,"('underdeveloped', 'hypoplasia', 'reduced', 'small', 'tiny')","('A size quality which is relatively low.',)",PATO:0000587
,sodium,Sodium,"('Na  Sodium', 'Na element', 'Sodium product')","('An element that is a member of the alkali group of metals. It has the atomic symbol Na, atomic number 11, and atomic weight 23. With a valence of 1, it has a strong affinity for oxygen and other nonmetallic elements. Sodium provides the chief cation of the extracellular body fluids. Its salts are the most widely used in medicine. (From Dorland, 27th ed) Physiologically the sodium ion plays a major role in blood pressure regulation, maintenance of fluid volume, and electrolyte balance. (source : MSH)',)",http://doe-generated-ontology.com/OntoAD#C0037473
y ,sodium,Sodium,"('Sodium (NOS)', 'Na', 'SODIUM', 'Sodium', 'sodium')","('An element with atomic symbol Na, atomic number 11, and atomic weight 23.',)",Thesaurus:C830
,sodium,Sodium,"('Sodium (NOS)', 'Na', 'SODIUM', 'Sodium', 'sodium')","('An element with atomic symbol Na, atomic number 11, and atomic weight 23.',)",Thesaurus:C830
,sodium,Sodium,"('Sodium 23', 'Level, Sodium Ion', 'Sodium-23', 'Sodium Ion Level', 'Ion Level, Sodium')","('A member of the alkali group of metals. It has the atomic symbol Na, atomic number 11, and atomic weight 23.',)",MESH:D012964
,sodium,sodium,"('Na element', 'Na24 isotope')","('alkaline metallic element, symbol Na, atomic number 11.',)",http://purl.bioontology.org/ontology/CSP/2730-2702
,sodium,sodium,"('Na',)","('Sodium is a chemical element with the symbol Na (from Latin: natrium) and atomic number 11. It is a soft, silver-white, highly reactive metal and is a member of the alkali metals; essential macronutrient involved in generating the membrane potential in animal cells and is also required for the generation of nerve impulses',)",http://vocabs.lter-europe.net/EnvThes/20867
y,sodium thiosulfate,Sodium Thiosulfate,"('Thiosulfate, Sodium, Pentahydrate', 'Disodium thiosulfate', 'Sodium Thiosulphate', 'Sodium Thiosulfate', 'SODIUM THIOSULFATE', 'Sodium Thiosulfate Pentahydrate', 'Cyanide Antidote Package', 'Thiosulfuric Acid Disodium Salt', 'Disodium Thiosulfate', 'Sodium thiosulfate', 'Sodium Hyposulfate', 'Thiosulfuric acid disodium salt', 'sodium thiosulfate', 'S-Hydril', 'Sodothiol')","('A water soluble salt and reducing agent that reacts with oxidizing agents.  Although its exact mechanism of action is unknown, thiosulfate likely provides an exogenous source of sulfur, thereby hastening the detoxification of cyanide through the enzyme rhodanese (thiosulfate cyanide sulfurtransferase) which converts cyanide to the relatively nontoxic, excretable thiocyanate ion. In addition, this agent neutralizes the reactive alkylating species of nitrogen mustard, thereby decreasing skin toxicity related to nitrogen mustard extravasation. (NCI04)',)",Thesaurus:C1230
,sodium thiosulfate,Sodium Thiosulfate,"('Thiosulfate, Sodium, Pentahydrate', 'Disodium thiosulfate', 'Sodium Thiosulphate', 'Sodium Thiosulfate', 'SODIUM THIOSULFATE', 'Sodium Thiosulfate Pentahydrate', 'Cyanide Antidote Package', 'Thiosulfuric Acid Disodium Salt', 'Disodium Thiosulfate', 'Sodium thiosulfate', 'Sodium Hyposulfate', 'Thiosulfuric acid disodium salt', 'sodium thiosulfate', 'S-Hydril', 'Sodothiol')","('A water soluble salt and reducing agent that reacts with oxidizing agents.  Although its exact mechanism of action is unknown, thiosulfate likely provides an exogenous source of sulfur, thereby hastening the detoxification of cyanide through the enzyme rhodanese (thiosulfate cyanide sulfurtransferase) which converts cyanide to the relatively nontoxic, excretable thiocyanate ion. In addition, this agent neutralizes the reactive alkylating species of nitrogen mustard, thereby decreasing skin toxicity related to nitrogen mustard extravasation. (NCI04)',)",Thesaurus:C1230
,sodium thiosulfate,Sodium Thiosulfate,(),"('A water soluble salt and reducing agent that reacts with oxidizing agents.  Although its exact mechanism of action is unknown, thiosulfate likely provides an exogenous source of sulfur, thereby hastening the detoxification of cyanide through the enzyme rhodanese (thiosulfate cyanide sulfurtransferase) which converts cyanide to the relatively nontoxic, excretable thiocyanate ion. In addition, this agent neutralizes the reactive alkylating species of nitrogen mustard, thereby decreasing skin toxicity related to nitrogen mustard extravasation. (NCI04)',)",NCIT:C1230
,sodium thiosulfate,sodium thiosulfate,"('S-Hydril', 'sodium thiosulfate pentahydrate', 'Sodium Hyposulfate', 'STS', 'Sodothiol', 'disodium thiosulfate')","('A water soluble salt and reducing agent that reacts with oxidizing agents. Although its exact mechanism of action is unknown, thiosulfate likely provides an exogenous source of sulfur, thereby hastening the detoxification of cyanide through the enzyme rhodanese (thiosulfate cyanide sulfurtransferase) which converts cyanide to the relatively nontoxic, excretable thiocyanate ion. In addition, this agent neutralizes the reactive alkylating species of nitrogen mustard, thereby decreasing skin toxicity related to nitrogen mustard extravasation. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C1230"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1230"" NCI Thesaurus)',)",http://purl.bioontology.org/ontology/PDQ/CDR0000039602
,sodium thiosulfate,sodium thiosulfate,"('Sodium oxide sulfide', 'Sodium hyposulfite', 'Sodium thiosulphate', 'Disodium thiosulfate', 'sodium thiosulfate (anhydrous)', 'Thiosulfuric acid, disodium salt', 'anhydrous sodium thiosulfate', 'disodium sulfurothioate')","('An inorganic sodium salt composed of sodium and thiosulfate ions in a 2:1 ratio.',)",CHEBI:132112
,solids,Solid,"('Solid',)","('The state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape.',)",NCIT:C45300
,solids,Solid,"('Solid',)","('The state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape.',)",Thesaurus:C45300
,solids,Solid,"('Solid',)","('The state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape.',)",Thesaurus:C45300
y,solids,solid,"('solid state of matter',)","('A state of matter, in which particles are closely packed together. The forces between particles are strong so that the particles cannot move freely but can only vibrate. As a result, a solid has a stable, definite shape, and a definite volume. Solids can only change their shape by force, as when broken or cut. [Wikipedia]',)",http://purl.allotrope.org/ontologies/quality#AFQ:0000112
,solids,solid configuration,"('solid',)","(""A physical quality inhering in a bearer by virtue of the bearer's parts having the arrangement which exhibits characteristics of solids."",)",PATO:0001736
,solids,solid substance,"('Solid',)","('A substance having a definite shape and volume (source : CHV)',)",http://doe-generated-ontology.com/OntoAD#C0302909
,solution,Solution,"('Solution',)","('A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution.',)",Thesaurus:C70830
,solution,Solution,"('Solution',)","('A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution.',)",Thesaurus:C70830
,solution,Solution,(),"('A homogeneous mixture of substances.\nFor example, a chemical solution used in an experiment.',)",https://w3id.org/reproduceme#Solution
,solution,SolutionDrugForm,"('Solution',)","('<p>A liquid preparation that contains one or more chemical substances dissolved, i.e., molecularly dispersed, in a suitable solvent or mixture of mutually miscible solvents.</p>',)",http://purl.bioontology.org/ontology/HL7/C1382100
,solution,Solutions,"('Solution',)","(""The homogeneous mixtures formed by the mixing of a solid, liquid, or gaseous substance (solute) with a liquid (the solvent), from which the dissolved substances can be recovered by physical processes. (From Grant & Hackh's Chemical Dictionary, 5th ed)"",)",MESH:D012996
y,solution,solution,"('chemical solution',)","('A mixture that is homogeneous, made up of at least two scattered molecular aggregates, one playing the role of solute and the other playing the role of solvent.',)",CHEBI:75958
,solution,solution,(),"('A solution is a homogeneous mixture composed of one phase where particles  are not visible to the naked eye and the solution does not scatter a light beam. [Allotrope]',)",http://purl.allotrope.org/ontologies/material#AFM:0000012
,solution,solution,(),"('State if the sample is in solution form.',)",MS:1000051
,solution,solution,(),"('homogeneous mixture of one or more substances (solutes) dispersed molecularly in a sufficient quantity of dissolving medium (solvent).',)",http://purl.bioontology.org/ontology/CSP/2322-9385
,source,Source,"('Source', 'source')","('Where something is available or from where it originates.',)",Thesaurus:C25683
,source,Source,"('Source', 'source')","('Where something is available or from where it originates.',)",Thesaurus:C25683
,source,Source,(),"('The input of each cell in a Jupyter Notebook is described as Source.',)",https://w3id.org/reproduceme#Source
,source,from role,"('origin role', 'source role', 'from', 'origin', 'source')","('A from role is a direction role indicating that something is coming from a source. [Allotrope]',)",http://purl.allotrope.org/ontologies/role#AFRL:0000465
,source,headwater,"('drainage basin', 'headstream', 'source', 'stream', 'HEADWATER', 'headwaters')","('The upper part of a river system, denoting the upper basin and source streams of a river.',)",ENVO:00000153
y,source,source,(),"('Terms to describe the source.',)",MS:1000458
,source id,Patient Identifier,"('Patient Identifier', 'Patient ID', 'patient id', 'patient_id', 'source id', 'source_id')","('An alphanumeric identifier assigned to a specific patient.',)",Thesaurus:C164337
,source id,Patient Identifier,"('Patient Identifier', 'Patient ID', 'patient id', 'patient_id', 'source id', 'source_id')","('An alphanumeric identifier assigned to a specific patient.',)",Thesaurus:C164337
,specificity,                                                                                             ,"('Specificity of Diagnostic Test', 'Diagnostic Specificity', 'specificity', 'Specificity')","('The probability that a test will produce a true negative result when used on non-effected subjects as compared to a reference or ""gold standard"". The specificity of a test can be determined by calculating: number of true negative results divided by the sum of true negative results plus number of false positive results.',)",Thesaurus:C41395
,specificity,Diagnostic Specificity,"('Specificity of Diagnostic Test', 'Diagnostic Specificity', 'specificity', 'Specificity')","('The probability that a test will produce a true negative result when used on non-effected subjects as compared to a reference or ""gold standard"". The specificity of a test can be determined by calculating: number of true negative results divided by the sum of true negative results plus number of false positive results.',)",Thesaurus:C41395
,specificity,Diagnostic Specificity,"('Specificity of Diagnostic Test', 'Specificity')","('The frequency with which a test yields a true negative result among individuals who do not have the disease or the gene mutation in question. A test with high specificity has a low false-positive rate and thus does a good job of correctly classifying unaffected individuals. (source : NCI)',)",http://doe-generated-ontology.com/OntoAD#C1511884
y                                              ,specificity,Sensitivity and Specificity,"('Specificity', 'Sensitivity', 'Specificity and Sensitivity')","('Binary classification measures to assess test results. Sensitivity or recall rate is the proportion of true positives. Specificity is the probability of correctly determining the absence of a condition. (From Last, Dictionary of Epidemiology, 2d ed)',)",MESH:D012680
y,specify,Specify,"('Specify',)","('Be specific about something; define clearly.',)",Thesaurus:C25685
,specify,Specify,"('Specify',)","('Be specific about something; define clearly.',)",Thesaurus:C25685
y,specimen,Specimen,"('Research Specimen', 'Biological specimens', 'Sample')","('Material (structure, substance, device) removed from a source (patient, donor, physical location, product) (source : SNOMEDCT)',)",http://doe-generated-ontology.com/OntoAD#C0370003
,specimen,Specimen,"('Research Specimen', 'Sample', 'Specimen')","('A part of a thing, or of several things, taken to demonstrate or to determine the character of the whole, e.g. a substance, or portion of material obtained for use in testing, examination, or study; particularly, a preparation of tissue or bodily fluid taken for examination or diagnosis.',)",Thesaurus:C19157
,specimen,Specimen,"('Research Specimen', 'Sample', 'Specimen')","('A part of a thing, or of several things, taken to demonstrate or to determine the character of the whole, e.g. a substance, or portion of material obtained for use in testing, examination, or study; particularly, a preparation of tissue or bodily fluid taken for examination or diagnosis.',)",Thesaurus:C19157
,specimen,Specimen,"('Specimen (specimen)',)","('Material (structure, substance, device) removed from a source (patient, donor, physical location, product)',)",http://purl.bioontology.org/ontology/SNOMEDCT/123038009
,specimen,specimen,"('sample',)","('A material entity that has the specimen role.',)",OBI:0100051
,specimen,specimen,(),"('A material entity that has the specimen role.',)",OBI:0100051
,specimen,specimen role,"('specimen',)","('Specimen role is the sample role of a prepared fraction of a portion of material that is analyzed in a particular experiment. [Allotrope]',)",http://purl.allotrope.org/ontologies/role#AFRL:0000352
,specimen collector,specimen collector,"('Specimen Collector Name',)","('A person who collects the specimen',)",OBI:0001895
y ,specimen collector,specimen collector,(),"('A datum containing the name of persons or institute who collected a given specimen.',)",GENEPIO:0001797
,specimen collector,specimen collector,(),"('A person who collects the specimen',)",OBI:0001895
,specimen type,Biospecimen Type,"('specimen type', 'physical sample type', 'specimen_type', 'Sample Type', 'Type of Biospecimen', 'Specimen Type', 'Biospecimen Type', 'physical_sample_type', 'SPEC')","('The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.',)",Thesaurus:C70713
,specimen type,CDISC SDTM Specimen Type Terminology,"('SDTM-SPECTYPE', 'CDISC SDTM Specimen Type Terminology', 'Specimen Type', 'SPECTYPE')","('Terminology associated with the specimen type codelist of the Clinical Data Interchange Standards Consortium (CDISC) Study Data Tabulation Model (SDTM).',)",Thesaurus:C78734
y,spike,spiked sample role,"('spike sample', 'spike', 'spike role')","('A spiked sample role is a sample role of a material that does contain a spike substance. [Allotrope]',)",http://purl.allotrope.org/ontologies/role#AFRL:0000260
,split,Split,"('Bifid', 'SPLIT', 'Split', 'Splitting')","('To separate or divide into distinct parts or portions.',)",Thesaurus:C54572
,split,Split,"('Bifid', 'SPLIT', 'Split', 'Splitting')","('To separate or divide into distinct parts or portions.',)",Thesaurus:C54572
,split,broken,"('fractured', 'hemorrhaged', 'cracked', 'split', 'torn', 'fragmented')","(""A structural quality inhering in a bearer by virtue of the bearer's components no longer being in a single contiguous unit."",)",PATO:0001444
,split,split,"('septate', 'divided', 'forked', 'subdivided', 'clefted')","(""A shape quality inhering in a bearer by virtue of the bearer's being divided or broken up into parts or divisions."",)",PATO:0001786
?,split,split inlet,"('split injector', 'S', 'split')","('A split inlet is a gas chromatograph inlet followed by a splitter enabling the carrier gas to sweep a part of volatilized sample onto the GC column, with that remaining split/swept to waste. [Allotrope]',)",http://purl.allotrope.org/ontologies/equipment#AFE:0000811
?,split ratio,flow ratio,"('split ratio',)","('Flow rate is a quality quantification facet that quantifies the ratio of the flow going though the plumbing part (port of a divert valve, solvent channel) as part of a total flow. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0001923
,stan,ST Waveform Analysis,"('ST Waveform Analysis', 'STAN')","('A method of fetal ECG surveillance during labor that monitors the ST segment, to indicate any fetal hypoxia.',)",Thesaurus:C92889
,stan,ST Waveform Analysis,"('ST Waveform Analysis', 'STAN')","('A method of fetal ECG surveillance during labor that monitors the ST segment, to indicate any fetal hypoxia.',)",Thesaurus:C92889
,stan,protocadherin-like wing polarity protein stan (fruit fly),"('CG11895', 'stan', 'fmi', 'protein flamingo (fruit fly)', 'protein starry night (fruit fly)', 'fly-stan')","('A protein that is a translation product of the stan gene in fruit fly.', 'Category=organism-gene.')",PR:Q9V5N8
,stan,stan,"('DmelCG11895', 'CG11895', 'Fmi', 'Flam', 'Stan', 'fmi', 'CT20776', 'STAN', 'fmi/stan')","('The protein-coding gene stan (starry night) located on the chromosome 2R mapped at 47B4-47B7|2-62 cM.',)",NCBIGene:36125
y,stan ref,reference standard method,"('consensus method, common standard method, reference standard method')","('consensus method, common standard method, reference standard method')",http://purl.jp/bio/4/id/200906059932956234
,standard,Standard,"('Standard', 'standard')","('A document, established by consensus and approved by a recognized body, that provides, for common and repeated use, rules, guidelines or characteristics for activities or their results.',)",NCIT:C81893
,standard,Standard,"('technical standard', 'Standard', 'standard')","('A document, established by consensus and approved by a recognized body, that provides, for common and repeated use, rules, guidelines or characteristics for activities or their results.',)",NCIT:C81893
y,standard,Standard,"('technical standard', 'Standard', 'standard')","('A document, established by consensus and approved by a recognized body, that provides, for common and repeated use, rules, guidelines or characteristics for activities or their results.',)",Thesaurus:C81893
,standard,Standard,"('technical standard', 'Standard', 'standard')","('A document, established by consensus and approved by a recognized body, that provides, for common and repeated use, rules, guidelines or characteristics for activities or their results.',)",Thesaurus:C81893
,standard,standard,"('norm',)","('A standard is a norm or requirement that is established for technical systems. [Wikipedia]',)",http://purl.allotrope.org/ontologies/result#AFR:0001276
,standard,standard,(),"('Something, such as a practice or a product, that is widely recognized or employed, especially because of its excellence.',)",MS:1000898
,standard type,CDISC Define-XML Standard Type Terminology,"('Standard Type', 'CDISC Define-XML Standard Type Terminology', 'DEFINE-STDTYP', 'STDTYP')","('Terminology associated with the standard type codelist of the Clinical Data Interchange Standards Consortium (CDISC) Define-XML standard.',)",Thesaurus:C170451
,standard type,CDISC Define-XML Standard Type Terminology,"('Standard Type', 'CDISC Define-XML Standard Type Terminology', 'DEFINE-STDTYP', 'STDTYP')","('Terminology associated with the standard type codelist of the Clinical Data Interchange Standards Consortium (CDISC) Define-XML standard.',)",Thesaurus:C170451
y,start,Begin,"('Begin', 'Start')","('Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.',)",Thesaurus:C25431
,start,Begin,"('Begin', 'Start')","('Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.',)",Thesaurus:C25431
,start,Start,(),"(""An instance of prov:Start provides additional descriptions about the binary prov:wasStartedBy relation from some started prov:Activity to an prov:Entity that started it. For example, :foot_race prov:wasStartedBy :bang; prov:qualifiedStart [ a prov:Start; prov:entity :bang; :foo :bar; prov:atTime '2012-03-09T08:05:08-05:00'^^xsd:dateTime ] ."",)",http://www.w3.org/ns/prov#Start
,start,start,(),"('<p>Refers to the first document in a collection of documents. This link type tells search engines which document is considered by the author to be the starting point of the collection.</p>',)",http://purl.bioontology.org/ontology/HL7/C1552850
,start,start,(),"('The process boundary when the process starts. [Allotrope]',)",http://purl.allotrope.org/ontologies/process#AFP:0003328
y,start date,Start Date,"('Starting Date', 'STDAT', 'Start', 'Start Date')","('The calendar date on which something is to start or did start.',)",Thesaurus:C68616
,start date,Start Date,"('Starting Date', 'STDAT', 'Start', 'Start Date')","('The calendar date on which something is to start or did start.',)",Thesaurus:C68616
,start time,Start Time,"('STTIM', 'Start Time', 'start time', 'start_time')","('The time at which something is to start or did start.',)",Thesaurus:C78441
y,start time,Start Time,"('STTIM', 'Start Time', 'start time', 'start_time')","('The time at which something is to start or did start.',)",Thesaurus:C78441
,start time,start time,(),"('A start time is a time that denotes the start of some process. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0002422
y ,state,State,"('State', 'Territory')","('A constituent administrative district of a nation.',)",NCIT:C87194
,state,State,"('State', 'Territory')","('A constituent administrative district of a nation.',)",Thesaurus:C87194
,state,State,"('State',)","('The way something is with respect to its main attributes.',)",NCIT:C25687
,state,State,"('State',)","('The way something is with respect to its main attributes.',)",Thesaurus:C25687
,state,national geopolitical entity,"('independent political entity', 'independent sovereign nation', 'independent nation', 'state', 'country', 'political entity', 'nation')","('A political association with effective dominion over a geographic area.',)",ENVO:00000009
,state,national geopolitical entity,"('independent sovereign nation', 'independent nation', 'independent political entity', 'political entity', 'country', 'state', 'nation')","('A political association with effective dominion over a geographic area.',)",ENVO:00000009
,state,state,(),"('A state is a homomeric, cumulative process in which all the temporal parts are described by the same expression used for the whole. [Allotrope]',)",http://purl.allotrope.org/ontologies/process#AFP:0003374
,status,Social status,"('Status',)","('relative social rank in a hierarchy of prestige; social rank order established by certain behavioral patterns. (source : CSP)',)",http://doe-generated-ontology.com/OntoAD#C0699806
,status,Status,"('Status',)","('A condition or state at a particular time.',)",NCIT:C25688
y,status,Status,"('Status',)","('A condition or state at a particular time.',)",Thesaurus:C25688
,status,Status,"('Status',)","('A condition or state at a particular time.',)",Thesaurus:C25688
,status,status,(),"('An attribute describing the status of a feature, based on the available evidence.', 'This term is the hypernym of attributes and should not be annotated to.')",SO:0000905
,std,Ser,"('SER', 'Bd', 'CG6127', 'ser', 'Rpw', 'mel(3)8', 'DmelCG6127', 'std', 'CT18858')","('The protein-coding gene Ser (Serrate) located on the chromosome 3R mapped at 97E6-97E8.',)",NCBIGene:43275
,std,Sexually Transmitted Disorder,"('Sexually Transmitted Disease', 'Venereal Disease', 'Sexually Transmitted Disorder', 'Sexually Transmitted Infection', 'STD', 'STI', 'VD')","('A disorder acquired through sexual contact.',)",Thesaurus:C3365
,std,Sexually Transmitted Disorder,"('Sexually Transmitted Disease', 'Venereal Disease', 'Sexually Transmitted Disorder', 'Sexually Transmitted Infection', 'STD', 'STI', 'VD')","('A disorder acquired through sexual contact.',)",Thesaurus:C3365
